density,conductivity,solvent1,solvent2,solvent3,solvent4,solvent5,solvent6,solvent7,solvent8,additive1,additive2,additive3,additive4,additive5,additive6,additive7,additive8,additive9,additive10,additive11,additive12,additive13,additive14,additive15,additive16,additive17,additive18,additive19,additive20,additive21,additive22,additive23,additive24,additive25,additive26,additive27,LiPF6,additive28,additive29,additive30,additive31,additive32,additive33,additive34,additive35,additive36
1.1924,8.07,25.03,0,16.68,41.7,0,0,0,0,0,0,1.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,12.5,0.3,0,0,0,0,0,0,0,0
1.1903,7.93,25.53,0,17.02,42.55,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,12.5,0.5,0,0.8,0,0,0,0,0,0
1.166,7.11,0,0,0,69.85,0,0,0,10.65,0,0,2,0.3,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7,0,0,14,0,0,1,0,0,0,0,0,0
1.2123,7.59,23.5,0,22.3,31,0,0,0,0,0,0,4,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,13.7,0,0,0,0,0,0,0,0,0
1.2087,8.85,25.5,0,0,59.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
1.2173,7.7,12,0,0,59.5,0,0,0,5,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.8,0,0,15,0.5,0,2,0,0,0,0,0,0
1.2256,8.04,29.3,0,11,42.8,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,14.3,0,0,0,0,0,0.5,0,0,0
1.2265,8.11,29.3,0,11,42.8,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,14.3,0,0,0,0,0,0.5,0,0,0
1.2258,7.9,29.3,0,11,42.8,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,14.3,0,0,0,0,0,0.5,0,0,0
1.2293,7.87,29.3,0,11,42.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,14.3,0,0,0.8,0,0,0.5,0,0,0
1.2006,7.82,24.6,0,16.4,41,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0
1.2003,8.46,24.6,0,16.4,41,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0
1.2008,8.19,24.6,0,16.4,41,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0
1.2073,8.1,24.6,4.1,12.3,41,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0
1.2128,7.99,24.6,0,12.3,41,0,0,0,4.1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0
1.204,9.3,29.17,29.17,29.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0
1.218,7.79,24,0,16,40.3,0,0,0,0,0,0,1.5,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.5,0,0,14.5,0,0,1.5,0,0,0,0,0,0
1.2067,8.09,21,0,8.1,49.6,0,0,0,4.2,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8,0,0,13.5,0,0,0,0,0.3,0,0,0,0
1.2037,8.08,21,0,8.1,49.6,0,0,0,4.2,0,0,0,0.5,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8,0,0,13.5,0,0,1,0,0,0,0,0,0
1.2237,10.52,26,30,0,25.2,0,0,0,4.7,0,0,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0.6
1.2246,10.46,26,30,0,25.1,0,0,0,4.7,0,0,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0.7
