density,conductivity,E1,E2,E3,E4,P1,P2,P3,P4,P5,L04,L10,L11,L12,L13,L14,L11Mytest,P7,P8,A02,A03,A05,A06,A07,M01,M5,M18,M26,M72,L06,L07,T15My,C15,C16,C52,R01,R04,A,F2,TF,DVB,T16,T16B,T25
1.265,9,35.09,5,10.9,26.59,0,0,0,4.4,14.5,0.5,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0
1.204,7,18.67,0,14,37.79,0,0,0,0,14.5,0,0,0,0,0,0,0,0,3,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,0,0,0,0.03
1.251,9.3,24.98,7.99,0,41.77,0,0,0,5,14.99,0,0.2,0,0,0,0,0,1.5,3,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0
1.185,11.1,18.19,0,0,39.97,0,19.99,0,0,14.99,0.3,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.07,0,0,0
1.24,11.2,12.99,61.97,0,6,0,0,0,0,14.99,0.5,0,0,0,0,0,0,1.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0
1.228,8.2,21.99,0,15.2,37.99,0,0,0,4,15,0.3,0,0,0,0,0,0,1,2,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0
1.229,8.1,21.99,0,15.2,37.99,0,0,0,4,15,0.3,0,0,0,0,0,0,1,2,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0
1.264,11,13.3,49.19,0,10,0,0,0,0,15,0,0,0,0,0,0,3.95,0,0,8,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0
1.175,10.6,19.99,0,0,24.99,0,14.99,15,5.5,15,0,0,0,0,0,1,0,1.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0
1.24,9.1,29.49,0,0,52.48,0,0,0,0,15,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0
1.244,8,29.49,0,8,43.48,0,0,0,0,15,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0
1.267,8.7,29.49,0,8,44.49,0,0,0,0,15,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0
1.153,8.8,20,0,0,0,30.26,0,15,10,15,0,0.19,0,0,0,0,0,0,3,3.5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0.03,0,0,0.03
1.259,11.2,20,47.5,0,11.5,0,0,0,0,15.2,0,0.27,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.03,0,0,0
1.149,7.3,11.87,0,17.87,0,27.69,0,0,11.87,15.22,0,0.1,0,0,0,0,0,0.32,3.18,5.29,0,0.52,0,0,0,0,0,0,0,2.12,0,0,3.96,0,0,0,0,0,0,0,0,0,0,0
1.247,11.2,35.08,15.14,0,0,0,0,23.28,7.49,15.39,0,0,0,0,0,0,0,1.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.05,0,0
1.262,11,8.96,51.62,0,10.49,0,0,0,0,15.74,0,0,0,0,0,0,4.2,0,0,8.39,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0
1.227,9.9,33.6,2.54,0,42.91,0,0,0,0,15.94,0,0,0,0,0,0,0,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,0,0,0.04,0.06,0,0
1.298,11.1,22.29,44.58,0,7.4,0,0,0,0,15.99,0,0,0,0,1.2,0,0,2.5,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0
1.259,8,24.74,0,15,29.99,0,0,0,6,16,0,0,0,0,0,0,0,0.75,1.5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0
1.246,10.5,25.13,33.5,0,25.13,0,0,0,0,16.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.274,10.9,17.99,49.97,0,9.99,0,0,0,0,16.99,0.5,0,0,0,0.5,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0
1.2,7.8,35.49,0,5.98,25.55,0,0,0,5.96,18.46,0,0,0,0,0,0,0,1.42,2.84,0,0,0,1.14,0,0,0,0,0,0,0,0,2.27,0.71,0,0,0,0,0,0,0,0.04,0,0,0.14
1.268,9.8,24.37,32.5,0,24.37,0,0,0,0,18.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.232,7.5,15.99,0,0,62.96,0,0,0,0,19.99,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0
1.232,7.6,15.99,0,0,62.96,0,0,0,0,19.99,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0
1.223,7.2,15.99,0,0,62.95,0,0,0,0,19.99,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0
